Rank,Country,Economy
1,United States,17419000
2,China,10360105
3,Japan,460146
4,Germany,3852556 
5,United Kingdom,2941886 
6,France,2829192 
7,Brazil,2346118 
8,Italy,2144338 
9,India,2066902
10,Russian Federation,1860598
11,Canada,1786655
12,Australia,1453770
13,Korea Rep.,1410383
14,Spain,1404307
15,Mexico,1282720
16,Indonesia,888538
17,Netherlands,869508
18,Turkey,799535
19,Saudi Arabia,746249
20,Switzerland,685434
21,Sweden,570591
22,Nigeria,568508
23,Poland,548003
24,Argentina,540197
25,Belgium,533383
26,Venezuela RB,509964
27,Norway,500103
28,Austria,436344
29,Iran Islamic Rep.,415339
30,United Arab Emirates,401647
31,Colombia,377740
32,Thailand,373804
33,South Africa,349817
34,Denmark,341952
35,Malaysia,326933
36,Singapore,307872
37,Israel,304226
38,Hong Kong SAR China,290896
39,Egypt Arab Rep.,286538
40,Philippines,284582
41,Finland,270674
42,Chile,258062
43,Pakistan,246876
44,Ireland,245921
45,Greece,237592
46,Portugal,229584
47,Iraq,220506
48,Algeria,214063
49,Kazakhstan,212248
50,Qatar,211817
51,Czech Republic,205523
52,Peru,202903
53,Romania,199044
54,New Zealand,188385
55,Vietnam,186205
56,Kuwait,175827
57,Bangladesh,173819
58,Hungary,137104
59,Ukraine,131805
60,Angola,131401
61,Morocco,107005
62,Puerto Rico,103135
63,Ecuador,100543
64,Slovak Republic,99790
65,Oman,81797
66,Cuba,77150
67,Belarus,76139
68,Azerbaijan,75198
69,Sri Lanka,74941
70,Sudan,73815
71,Myanmar,64330
72,Dominican Republic,63969
73,Uzbekistan,62644
74,Kenya,60937
75,Luxembourg,60131
76,Guatemala,58728
77,Uruguay,57471
78,Croatia,57223
79,Bulgaria,55735
80,Macao SAR China,55502
81,Ethiopia,54798
82,Costa Rica,49553
83,Slovenia,49416
84,Tanzania,49184
85,Lithuania,48172
86,Turkmenistan,47932
87,Tunisia,46995
88,Panama,46213
89,Lebanon,45731
90,Serbia,43866
91,Libya,41119
92,Ghana,38648
93,Yemen Rep.,35955
94,Jordan,35827
95,Côte d'Ivoire,34254
96,Bolivia,34176
97,Bahrain,33869
98,Congo Dem. Rep.,32962
99,Cameroon,32549
100,Latvia,31921
101,Paraguay,30985
102,Zambia,27066
103,Uganda,26312
104,Estonia,25905
105,El Salvador,25220
106,Trinidad and Tobago,24434
107,Cyprus,23226
108,Afghanistan,20842
109,Nepal,19636
110,Honduras,19385
111,Bosnia and Herzegovina,18344
112,Brunei Darussalam,17257
113,Gabon,17228
114,Iceland,17071
115,Cambodia,16709
116,Georgia,16530
117,Mozambique,16386
118,Botswana,15813
119,Senegal,15579
120,Papua New Guinea,15413
121,Jamaica,14362
122,Equatorial Guinea,14308
123,Congo Rep.,14135
124,Chad,13922
125,Zimbabwe,13663
126,Namibia,13430
127,Albania,13370
128,South Sudan,13070
129,West Bank and Gaza,12738
130,Mauritius,12616
131,Burkina Faso,12543
132,Mali,12074
133,Mongolia,12016
134,Nicaragua,11806
135,Lao PDR,11772
136,Macedonia FYR,11324
137,Armenia,10882
138,Madagascar,10593
139,Malta,9643
140,Tajikistan,9242
141,Benin,8747
142,Haiti,8713
143,Bahamas The,8511
144,Niger,8169
145,Moldova,7944
146,Rwanda,7890
147,Kyrgyz Republic,7404
148,Kosovo,7274
149,Guinea,6624
150,Bermuda,5574
151,Liechtenstein,5488
152,Suriname,5299
153,Mauritania,5061
154,Sierra Leone,4892
155,Montenegro,4583
156,Togo,4518
157,Barbados,4348
158,Malawi,4258
159,Fiji,4030
160,Eritrea,3858
161,Swaziland,3400
162,Andorra,3249
163,Guyana,3228
164,Burundi,3094
165,Maldives,3032
166,Faeroe Islands,2613
167,Lesotho,2088
168,Liberia,2027
169,Cabo Verde,1871
170,Bhutan,1821
171,Central African Republic,1783
172,Belize,1624
173,Djibouti,1582
174,Timor-Leste,1552
175,Seychelles,1406
176,St. Lucia,1365
177,Antigua and Barbuda,1269
178,Solomon Islands,1158
179,Guinea-Bissau,1022
180,Grenada,882
181,St. Kitts and Nevis,833
182,Gambia The,807
183,Vanuatu,802
184,Samoa,801
185,St. Vincent and the Grenadines,729
186,Comoros,648
187,Dominica,538
188,Tonga,434
189,São Tomé and Principe,335
190,Micronesia Fed. Sts.,316
191,Palau,251
192,Marshall Islands,191
193,Kiribati,167
194,Tuvalu,38
